InsDel1a,InsDel1b,InsDel1c,InsDel1d,InsDel2a,InsDel2b,InsDel2c,InsDel3,InsDel4a,InsDel4b,InsDel5a,InsDel5b,InsDel6,InsDel7,InsDel8,InsDel24a,InsDel9,InsDel11,InsDel12,InsDel13,InsDel14,InsDel17,InsDel18,InsDel19a,InsDel19b,InsDel19c,InsDel25,InsDel28,InsDel29,InsDel30,InsDel33,InsDel38
A[Del(C):R9]T,9.28466903367554e-05,1.26227839712997e-06,2.20614994153104e-06,4.46383594866239e-06,1.84584460633839e-05,8.38519781297615e-06,4.79373798094494e-05,1.06866796233392e-05,6.41733691335143e-05,4.11996680388226e-05,2.0239203259468e-06,5.50715649911558e-06,9.6235741339943e-06,1.32256501031325e-05,2.09106868823532e-05,8.26379679350468e-05,1.47855330815617e-05,0,4.48942975341454e-05,2.99968198051748e-06,3.17030844662002e-05,9.93644203950869e-05,0.00025020029244213,9.6513518933321e-05,5.44172804332917e-05,3.13337023316682e-05,1.10166103057037e-05,4.73764178832887e-05,1.33803883418486e-05,6.00145692433956e-05,0.000187242286804361,1.2783547551547e-05
A[Del(T):R1]A,0.001782432432081,0.000125114739671892,0.00127873392794611,0.00287623951357658,0.00051866635816555,0.000181930974349786,0.000564753854843205,0.0105501639980281,0.00325518515938892,0.0102936223834632,0.0150054240525311,0.00983441728846337,0.00240171503674717,0.000330395414634115,0.00335787320234589,0.00444131176061386,0.0163038682206726,4.87820964242528e-07,0.00645464530287473,0.0104173085001409,0.0041993713448526,0.00344970881578666,0.0516071994389191,0.00745856408865586,0.0048897561624376,0.00546237962857988,0.008812689450438,0.00480897657616817,0.000703365781127097,0.00120182683047207,0.00123500065517337,0.000174194591078387
A[Del(T):R1]C,0.000831975669757272,7.29711666122682e-05,0.000620114102329728,0.00125634930687695,0.000112937938629808,0.000149188300267284,0.000248384843449388,0.00100046170515091,0.0012077772117159,0.00477040593525666,0.00882915499261475,0.00556049195792356,0.00161651887445082,2.78918243003286e-05,0.00152036782407783,0.00192523184086025,0.00727519046417045,4.39038867818275e-07,0.00157379621188352,0.0025593480430772,0.00151340787415497,0.00148404616059153,0.0240993421067935,0.00204959244382913,0.000800241875848067,0.00126393593047269,0.00606910889469991,0.000326673786555533,0.00011484909856085,0.00445606651355122,8.78409198905255e-05,4.20028492619771e-05
A[Del(T):R1]G,0.00181131943128927,4.19019051556373e-05,0.000167680133142627,0.000412474104238681,0.000109788849033741,6.28393082548272e-05,0.000229375955565836,0.00219988414370231,0.00250617756147291,0.00583755434618747,0.0113892221698532,0.00611546343971367,0.000910647087196702,8.59656474337637e-05,0.00104273886081942,0.00197075380300248,0.00792253018877581,4.39038867818275e-07,0.00609409267421889,0.00379421395883145,0.00105254240427785,0.0013554320649048,0.0056254608330923,0.00300232113978673,0.00200045765784898,0.000692810193846167,0.00811700983526259,0.0011876032590702,0.000609289804343366,0.00049453550670676,0.00012776355777864,3.95411136119758e-05
A[Del(T):R2]A,0.0014720351148215,0.00109566912396697,0.000643849320580588,0.00135735235389631,0.000319445908963742,0.000345197266679851,0.000674182570860275,0.00177031134928871,0.00110869627048102,0.00622708456801897,0.0139058926546017,0.00747658776378397,0.000803842027701519,0.000440489840643445,0.0011200852835193,0.0022757272560961,0.00570540419917865,0.000189274534126101,0.00294182438758074,0.195902336008326,0.00321183129363062,0.00329461162059399,0.0792181673703096,0.00532494175808793,0.00315054747800549,0.00718870559991376,0.0079172869613892,0.00133929866863793,0.00165169276927579,0.0022455739433132,0.000857525883422888,4.52527360443967e-05
A[Del(T):R2]C,0.000382808930862271,0.000662334687861331,0.000332532522133868,0.000268947146339954,0.000105833256408842,0.000211660010987656,0.000581547421206492,0.000356528720988971,0.000912286205334654,0.00391976085911336,0.0139064763117959,0.00710198727881571,0.000418527166223804,6.04524130671959e-05,0.000817651735572031,0.000829243473302842,0.00388445567272838,0.000193128319743617,0.00207026459730717,0.00281168797834645,0.000580123901830838,0.000627928227759217,0.0266451297879419,0.00161602903703367,0.000824912163219892,0.00114863202237546,0.00669410576993082,0.00128195085331523,0.00036977442456042,0.000641012949938057,0.000152727693784536,5.88903887980205e-05
A[Del(T):R2]G,0.000853989677063373,0.000310164752691146,0.000517686076118251,0.000253375242171859,0.000200321032938878,0.000182974156542158,0.000115509790604951,0.00350598395295,0.000592303772296364,0.00334653134537206,0.00933664977779955,0.00471942345883141,0.000431304236538228,0.000101643207559277,0.000965713269957989,0.000971665715347967,0.00342511774242703,0.000192884409261496,0.00228303891033571,0.00196210357184159,0.00055438484195234,0.000758231835376154,0.0215185560652915,0.00124150429280332,0.00113344691954704,0.00141239569012915,0.00574430413635576,0.000941842696317935,0.000215188235845021,0.000588279036672003,0.000191783542259038,2.53972633737235e-05
A[Del(T):R3]A,0.00102400892106919,0.00833405541395278,0.00139232007972792,0.00187560659274854,0.00102944312855786,0.00245936659646371,0.000318523079784488,0.00266149691467534,0.000934967501747699,0.00585294772073509,0.0175284090392347,0.00756936034501541,0.00299800016444362,0.000614310206029535,0.00124135500033724,0.00202072597732969,0.0102338599418912,0.000188250110101192,0.00287064903442379,0.00768316201603052,0.00223493194466512,0.000915335325985942,0.0501543051973036,0.00327845064541021,0.0014555853110519,0.00360506473702718,0.00690712728054936,0.000767859003064842,0.000803521248015361,0.000750558350558033,0.000792419783264775,0.000155541131327239
A[Del(T):R3]C,0.000753159170727831,0.00838629078907765,0.000656186946639288,0.00138670320873511,0.000162322195993168,0.00158494478930098,0.000817708862350524,0.000708296142455734,0.000467674482718351,0.00303193396146895,0.0153063592122539,0.00648139382937696,0.000443855730518818,0.000100552032122756,0.000177151074091091,0.000951959104445481,0.00330813814562593,3.90256771394023e-07,0.00417383156200823,0.0018720751177208,0.000965968717904763,0.00124937295348628,0.0318174139721546,0.00152544118191706,0.000438535499559054,0.000937359570409614,0.00585840545832767,0.000583916192418449,0.000264219048032481,0.000394182442683875,0.000176278978068591,7.72487040874471e-05
A[Del(T):R3]G,0.000611579252673956,0.00366574252970161,0.000289352104687042,0.000947553253841085,0.000315668125700665,0.00200370130314584,0.000218871043840716,0.00213819907058808,0.000288802028446044,0.00308661015643636,0.0126789330320992,0.00574109823033745,0.00123316561257881,0.000168373114096262,0.000348760721796052,0.00120195389450379,0.00586859938883498,3.90256771394023e-07,0.00319603496450885,0.00198383654325205,0.000504296489615781,0.000185276102045929,0.0194183658827998,0.00131240304877671,0.000548693346366327,0.000810583991926269,0.00464486104723487,0.000257365206323993,0.000299759269640548,0.000460338794343911,0.000188863949147505,4.5768826639474e-05
A[Del(T):R4]A,0.00233732436208511,0.0124521526201532,0.00314416617440778,0.00324170114059417,0.0020535966504934,0.0131736027773365,0.000653513042574437,0.00233061902417456,0.00052118630619997,0.0057934417394088,0.0145230006343264,0.00578733652501624,0.00210194085488969,0.00159682095826958,0.00115324183858828,0.000798637963113984,0.0108030260343898,0.000380012531144929,0.00327671239269646,0.021479216172422,0.00426282478478569,0.000141686694246682,0.0939766985592636,0.00222589847392581,0.000922690117541326,0.00143179159087696,0.00464194618151955,0.00168969750427343,0.0015274213794049,0.00172784405632108,0.00125452595049992,0.000125007694778864
A[Del(T):R4]C,0.00145060809817515,0.00771398983950807,0.00106691296335209,0.00356213696530041,0.00128154751389341,0.00699034731264146,0.00180669508684836,0.000963392620551311,0.000418033179342354,0.00334556873630574,0.0100497418553276,0.00463748683652036,0.00138248495226192,0.00102376408445477,0.000391653107727341,0.00201359224599149,0.00485831329264803,0.000191420946368768,0.000527650827850245,0.00174060773830487,0.00246485178924614,0.000436738833957576,0.0942207978418914,0.000830766379402017,0.00051359567537077,0.00104505403804493,0.00349520136051072,0.00130274097137547,0.000612981579301103,0.00187844991620992,0.000705300687140698,0.000111127660819246
A[Del(T):R4]G,0.000661025785496598,0.0034716614885138,0.000914905156352993,0.00140210200015174,0.00102325796629787,0.00547639521114332,0.000382110634204831,0.00332305533852866,0.000104207618838683,0.00247059894758202,0.00994678623665736,0.00437378179421379,0.00194645017347891,0.000869119078716007,0.000572918378334996,0.00161121374355733,0.00798377475435207,4.87820964242528e-07,0.00262736885076672,0.00203240137551928,0.00137110167796232,0.000117484435846518,0.0455051178256048,0.00103750133602097,0.000523158219942858,0.00065114896134104,0.00323487911933221,0.000741223583057363,0.000907295021702999,0.000421210352722666,0.000584495480425923,4.80557840048804e-05
A[Del(T):R5]A,0.00172070367697265,0.0166008486022258,0.00326069980365189,0.00656271265175543,0.00902598426842647,0.0469126781263399,0.00295069256463505,0.00177389643753257,0.00192636976212269,0.004358727334386,0.0104564980561011,0.00503789743341196,0.00250555483436752,0.00767867271041569,0.000362905631379377,0.00264194263381873,0.011300401671822,0.000572701812020728,0.00578047909342025,0.0122033161117646,0.00283124616423404,0.000249181890805872,0.0272802060421728,0.00112271226482817,0.000498083366890063,0.000816649751148898,0.00372046610819595,0.000720605385642629,0.00161139548441373,0.000717480174728015,0.00552656517604683,0.000167328772426944
A[Del(T):R5]C,0.00181477450289414,0.00735186511788779,0.00197598430519456,0.0050530293200284,0.00467620811070901,0.0136706575660203,0.00590918469443822,0.000725046305527443,0.000944348592851156,0.00241803212204691,0.00562349606995561,0.00296931363446191,0.00114054137882685,0.00393107380314724,0.000240236993383497,0.000425633951525837,0.00469518976487691,0.000578555663591638,0.00288693186236401,0.00141201432930795,0.00156698640204285,0.000264218546984683,0.0208467559720627,0.000360025568199164,0.000478516269191509,0.000882495323069601,0.00168244026405527,0.0003561827373522,0.000399896369489221,0.000292324438598634,0.00191832064439384,0.00012032990238834
A[Del(T):R5]G,0.000600376275873424,0.00325693072027476,0.000691599983980192,0.00191571929030383,0.00452129947043721,0.0145542196362019,0.000943999203763763,0.0016329064503971,0.000239442570853005,0.00299983304173533,0.00670964326982332,0.00327012486318535,0.00258150470938875,0.0052134680307895,0.000242287014468872,0.00155747640128194,0.00846893836346288,2.43910482121264e-07,0.00168168686128239,0.000993734418537598,0.00155052191250073,0.000254651685679906,0.0368799506477774,0.0013079219846597,0.000690175353122278,0.000581471427755742,0.00201112917358792,0.000810642683703872,0.000415765491695614,0.00140935603136812,0.00290869364777156,9.29738031457605e-05
