"","Del(10,):U(2,):R1","Del(10,):U1:R1","Del5:U(2,):R1","Del5:U1:R1","Del6:U(2,):R1","Del6:U1:R1","Del7:U(2,):R1","Del7:U1:R1","Del8:U(2,):R1","Del8:U1:R1","Del9:U(2,):R1","Del9:U1:R1","Del2:U(2,):R1","Del2:U1:R1","Del3:U(2,):R1","Del3:U1:R1","Del4:U(2,):R1","Del4:U1:R1","Del2:U1:R3","Del2:U1:R4","Del2:U2:R2","Del2:U2:R3","Del2:U2:R4","Del3:U1:R4","Del4:U2:R3","Del4:U2:R4","Del(6,):U1:R(7,9)","Del(6,):U2:R(4,9)","Del2:U1:R(5,9)","Del2:U2:R(5,9)","Del3:U1:R(5,9)","Del4:U1:R(5,9)","Del4:U2:R(5,9)","Del5:U1:R(5,9)","Del(6,):U(4,):R(2,9)","Del3:U3:R2","Del4:U4:R2","Del5:U5:R2","Del(6,):U3:R(3,9)","Del3:U3:R(5,9)","Del3:U3:R3","Del3:U3:R4","Del4:U4:R(5,9)","Del4:U4:R3","Del4:U4:R4","Del5:U5:R(5,9)","Del5:U5:R3","Del5:U5:R4"
"Del2:U2:R2",0.157473143887346,0.112693653544668,0.369087525385536,0.505342446582157,0.262674571427352,0.295948427931802,0.222496161830666,0.173942645620024,0.193029863225582,0.132173979108072,0.191854331011137,0.0943028146661597,0.798703320687326,0.553537946539425,0.686879927775778,0.67125889850286,0.599868016459341,0.649856720871482,0.880296490011979,0.864366301127192,1,0.901649907575368,0.773803153649931,0.211535459622203,0.47116942946248,0.723368388167514,0.212096898601841,0.591119362132348,0.670534524108197,0.731735088546035,0.613620383963262,0.566698092725318,0.656720756928886,0.546768834772553,0.677719680627632,0.836770002054862,0.821022699463288,0.675563881880418,0.659519177508319,0.735624680487121,0.81529232507019,0.781320505456583,0.744030008323021,0.79406997495831,0.771626666828473,0.675865423393772,0.70554007094096,0.721382520840512
"Del2:U2:R3",0.124390799326061,0.0637585134342806,0.388460296933028,0.582440988965784,0.256166403373948,0.310037683643218,0.208328360077358,0.149356137931985,0.17513709758436,0.0891653645671698,0.16608890297667,0.06072150447645,0.90601448932521,0.476000916380898,0.801633154107374,0.813129710872295,0.668101284122653,0.770744170854371,0.866947949441561,0.871136125775666,0.901649907575368,1,0.930858423547833,0.174353027400091,0.468083944929196,0.794050607980259,0.235729075800068,0.749079639147378,0.825756685423326,0.892477048574653,0.764146511872477,0.705246909934977,0.815158736000178,0.677205289022876,0.77981628481948,0.879024630125068,0.841644577209389,0.646908757472302,0.786863736058675,0.882980861152486,0.895446947826174,0.89712908564021,0.880688936042272,0.873139214917853,0.876567476867287,0.808727560750699,0.799926071275007,0.823418334942529
"Del2:U2:R4",0.0693227361229961,0.00469175774990284,0.359490451538905,0.598442270468567,0.217348416362298,0.293756020756135,0.160797552982977,0.112037024975003,0.128136578690458,0.0443890769295921,0.116995089198052,0.0140159043976484,0.916523902291214,0.335525438197647,0.820273276404166,0.856650517434513,0.669072755452783,0.805845587773727,0.78780003457899,0.807657343777102,0.773803153649931,0.930858423547833,1,0.121367386549577,0.426176024719774,0.783485288362438,0.271070100151257,0.831297310026267,0.883164913817811,0.974271055288595,0.825611323172296,0.762641674061327,0.892539955124702,0.736231669403929,0.79472087183734,0.864186840578131,0.808116731757775,0.572818262153379,0.836432805657553,0.95648141413236,0.909923395497383,0.9474304074585,0.938458587810151,0.873441188970113,0.902369987638997,0.868688840783106,0.824924005633939,0.859457361685776
"Del3:U1:R4",0.319536651462279,0.290900750555573,0.364778190604132,0.279951704008547,0.360724560493084,0.320245362452996,0.340369809766488,0.290489928275419,0.342047671669235,0.269513372770681,0.322369691110474,0.259733799940255,0.185407675500207,0.278595451465847,0.266427455168824,0.157989432847005,0.323641250588828,0.200160089545287,0.232057140559028,0.222184981521925,0.211535459622203,0.174353027400091,0.121367386549577,1,0.180889125772716,0.151218989189656,0.0440772182568243,0.086086272168356,0.106089555129184,0.107744590961957,0.0930533030822778,0.0867644182376353,0.0963365581250249,0.0882147277545901,0.190021005999875,0.170840884724,0.187395069112542,0.192223734930964,0.140528377468482,0.113998971549793,0.147932773456138,0.138364387646976,0.120840973370018,0.16074299075002,0.15053742996907,0.104026147396705,0.14786627690321,0.122089106917073
"Del4:U2:R3",0.190717264420192,0.155415781467076,0.308425428474166,0.34606291555075,0.247525627751493,0.240588573821557,0.22640727157997,0.175231519719343,0.2113986182739,0.155432259190132,0.187898141258299,0.131677611360727,0.435988207724981,0.318520430560249,0.432865771230802,0.386161471068312,0.409713035183998,0.390027884973682,0.550371558900117,0.545631789346762,0.47116942946248,0.468083944929196,0.426176024719774,0.180889125772716,1,0.490005344875447,0.104548053386987,0.312007700677777,0.380715322080035,0.40639493098422,0.329686978377215,0.285542625887185,0.3635208736046,0.25885346351962,0.437827943810157,0.540483962799272,0.569700855843931,0.514246103654336,0.384947449626808,0.41615782110402,0.518555754447482,0.476371212585428,0.438078994693852,0.512384621103022,0.475382323047149,0.399462529514895,0.431447906333511,0.43323318908508
"Del4:U2:R4",0.10204957241866,0.0432863028274747,0.372931730045201,0.555007783960345,0.235040837762849,0.302242197715817,0.202492741661698,0.137631885979189,0.167994520503697,0.0807146551169691,0.158438969572817,0.047019058556712,0.841761314563753,0.394136291317927,0.761489827133433,0.794460453184482,0.627663264773359,0.755555698052902,0.794678844738619,0.783300067732378,0.723368388167514,0.794050607980259,0.783485288362438,0.151218989189656,0.490005344875447,1,0.135831405277542,0.684611398518733,0.79359883818515,0.793905525301188,0.737902317013913,0.678768409983024,0.755592593655109,0.614848600124409,0.749277579407201,0.821595666491507,0.831144949212707,0.658563807969502,0.737057836400258,0.80706280003524,0.831305395489826,0.820471660217686,0.833024179193658,0.876260581239623,0.840746839294292,0.775105638583519,0.805308126137786,0.794214050232515
"Del(6,):U1:R(7,9)",0.00513608764802472,0.00025319175126894,0.0187753593021484,0.049945464050251,0.00741995357091308,0.0334512762033961,-0.00493484416753231,0.0214157998493271,0.00762862647475665,0.0113236782831032,-0.0086486849881994,0.00553212179657322,0.155065764635422,0.0714985768256223,0.0755892201198786,0.101926803329743,0.0774224414133838,0.0803055475256157,0.201093615775547,0.217661546532256,0.212096898601841,0.235729075800068,0.271070100151257,0.0440772182568243,0.104548053386987,0.135831405277542,1,0.0592197827468228,0.0811465899593004,0.198539928905835,0.07352380735475,0.106686193001887,0.0762068879725471,0.279411994773925,0.148863004041497,0.276008925654411,0.226421645172771,0.132989133767563,0.107564640742365,0.1955410273034,0.258654915438075,0.242647683813062,0.164233541260912,0.152407792591777,0.182571768992688,0.134266193991485,0.136973138464075,0.221441911674597
"Del(6,):U2:R(4,9)",0.0710907248805408,0.00189484534474579,0.357102270320416,0.65677074163752,0.225920768480048,0.304222066004783,0.158828585205185,0.0944999773963355,0.133149779635875,0.0324616142080446,0.112109585490308,0.0170521205777173,0.834392744642414,0.241831734083092,0.798605446949966,0.876085290857848,0.671853387604419,0.84789100376099,0.559757885674892,0.563919283020668,0.591119362132348,0.749079639147378,0.831297310026267,0.086086272168356,0.312007700677777,0.684611398518733,0.0592197827468228,1,0.889304773489727,0.885321276124564,0.897724417588666,0.845667416248125,0.975114038184891,0.772553494531683,0.789325918655515,0.644747807994312,0.604167267063471,0.443474094978911,0.889721915001286,0.860990753086406,0.691473342348839,0.781762244840703,0.859077871495569,0.73265074976926,0.75633357990926,0.835104613239818,0.728541170061958,0.723844969414024
"Del2:U1:R(5,9)",0.0547025023326395,-0.0104140777916397,0.37825070509902,0.679271096320806,0.214649622854649,0.322598447141312,0.156091469507899,0.0964017194540105,0.125159614351503,0.0307379165998636,0.109850381974313,0.00207054944944813,0.952247124183504,0.269088177055994,0.896142487359483,0.960217595736171,0.701854200359005,0.906393307165489,0.687450434967771,0.686052787364574,0.670534524108197,0.825756685423326,0.883164913817811,0.106089555129184,0.380715322080035,0.79359883818515,0.0811465899593004,0.889304773489727,1,0.930004720004258,0.969271061550022,0.898981012073043,0.942838270769189,0.811460299185634,0.811110809725144,0.75692559045084,0.715803688816529,0.530412919065445,0.88121720984937,0.920472030886146,0.804582064359504,0.872650537753969,0.943571718815433,0.856385245974921,0.867818047756372,0.886883391100357,0.843920525720122,0.821285007873898
"Del2:U2:R(5,9)",0.0610608553571618,-0.00475695851156293,0.368083877640035,0.625275119150886,0.217919450111396,0.3012854540353,0.159037411636004,0.103787637614112,0.124396792675351,0.0386977607462795,0.114956717809681,0.00506730824055366,0.938504305677109,0.297695767299675,0.850705895741278,0.901138185380173,0.687799546978108,0.847779478052908,0.753136055059187,0.765964711271697,0.731735088546035,0.892477048574653,0.974271055288595,0.107744590961957,0.40639493098422,0.793905525301188,0.198539928905835,0.885321276124564,0.930004720004258,1,0.880715296715251,0.8146283171751,0.945720717973367,0.766906042199477,0.815853257005245,0.838928721746594,0.784019803305119,0.556924715783222,0.881227844406236,0.983553075824181,0.887739077447606,0.941607571192128,0.972256405527753,0.880489619164226,0.908334821985822,0.898441436499221,0.839631271986797,0.856968120099348
